"district","date","disease","cases","turbidity_NTU","water_surface_temp_C","chlorophyll_a_mg_m3","NDWI","NDVI","EVI","SPM_mg_L","surface_reflectance_B3","surface_reflectance_B4","surface_reflectance_B5","month"
"Kamrup","2023-05-04","Leptospirosis","6","7.57","29.7","14.56","0.107","0.213","0.108","20.9","0.063","0.0304","0.0133","5"
"Kamrup","2023-05-05","Hepatitis A/E","3","10.21","28.7","9.45","0.007","0.428","0.282","26.7","0.0693","0.016","0.0093","5"
"Kamrup","2023-05-05","Hepatitis A/E","1","3.46","33","19.02","0.101","0.318","0.257","8.7","0.0655","0.027","0.0281","5"
"Kamrup","2023-05-06","Leptospirosis","2","6.81","31.2","12.01","0.179","0.175","0.101","6.4","0.0454","0.0236","0.0166","5"
"Kamrup","2023-05-06","Acute Gastroenteritis/Dysentery","10","12.52","29.9","17.23","0.041","0.408","0.262","15.4","0.035","0.0378","0.0237","5"
"Kamrup","2023-05-07","Cholera","7","4.51","31.2","10.8","0.04","0.331","0.244","14","0.0287","0.0355","0.0282","5"
"Kamrup","2023-05-08","Acute Gastroenteritis/Dysentery","14","9.47","30.9","11.44","0.137","0.147","0.169","15.4","0.0338","0.0241","0.0147","5"
"Kamrup","2023-05-09","Leptospirosis","1","10.85","28.9","13.89","0.087","0.368","0.151","14.5","0.031","0.0293","0.0188","5"
"Kamrup","2023-05-10","Hepatitis A/E","8","0.5","30.9","7.85","0.018","0.201","0.146","21.6","0.0447","0.0189","0.0186","5"
"Kamrup","2023-05-11","Hepatitis A/E","3","5.16","33.8","6.73","0.139","0.22","0.116","7.7","0.0325","0.0348","0.0191","5"
"Kamrup","2023-05-12","Hepatitis A/E","8","10.78","33.6","17.88","0.115","0.353","0.211","17.9","0.0341","0.0205","0.0222","5"
"Kamrup","2023-05-12","Hepatitis A/E","4","5.66","36","7.21","0.145","0.371","0.351","13","0.0507","0.0478","0.0101","5"
"Kamrup","2023-05-13","Cholera","3","10.75","29.7","14.92","0.048","0.349","0.179","11","0.0506","0.0357","0.0176","5"
"Kamrup","2023-05-13","Acute Gastroenteritis/Dysentery","7","6.75","25.9","7.72","0.196","0.198","0.148","20","0.0212","0.0268","0.0225","5"
"Kamrup","2023-05-14","Leptospirosis","1","8.79","31","15.52","0.135","0.37","0.234","21.5","0.0676","0.0334","0.0085","5"
"Kamrup","2023-05-15","Leptospirosis","5","9.9","32.9","12.81","0.088","0.294","0.246","4.9","0.0398","0.0279","0.0213","5"
"Kamrup","2023-05-16","Acute Gastroenteritis/Dysentery","11","8.37","34.8","10.23","0.16","0.257","0.112","9.3","0.0391","0.0243","0.0176","5"
"Kamrup","2023-05-17","Acute Gastroenteritis/Dysentery","18","4.38","28.8","18.71","0.053","0.208","0.202","16.7","0.0259","0.0272","0.0068","5"
"Kamrup","2023-05-18","Leptospirosis","3","6.62","26.8","16.18","0.117","0.276","0.181","27.8","0.0304","0.0165","0.0157","5"
"Kamrup","2023-05-18","Acute Gastroenteritis/Dysentery","9","11.31","33.4","11.99","0.071","0.213","0.191","19.6","0.0168","0.0409","0.0196","5"
"Kamrup","2023-05-19","Acute Gastroenteritis/Dysentery","7","9.88","32.6","7.24","0.154","0.365","0.15","11.7","0.0556","0.0067","0.0225","5"
"Kamrup","2023-05-20","Leptospirosis","4","5.07","32","11.45","0.153","0.421","0.369","3.7","0.026","0.0023","0.0055","5"
"Kamrup","2023-05-20","Cholera","8","7.39","32.2","18","0.145","0.238","0.154","13.4","0.0323","0.0277","0.001","5"
"Kamrup","2023-05-21","Cholera","4","9.47","39.1","10.69","0.001","0.185","0.13","20.1","0.0302","0.0227","0.0205","5"
"Kamrup","2023-05-21","Typhoid","13","5.05","27.1","17.08","0.122","0.101","0.021","17.6","0.0592","0.0334","0.0122","5"
"Kamrup","2023-05-22","Leptospirosis","4","7.11","32.2","11.29","0.032","0.329","0.242","12.9","0.0471","0.0113","0.0128","5"
"Kamrup","2023-05-23","Typhoid","19","7.83","34.2","10.79","0.098","0.345","0.222","13.5","0.0223","0.0249","0.0123","5"
"Kamrup","2023-05-24","Leptospirosis","7","9.29","30.1","14.22","0.028","0.382","0.251","10.9","0.0307","0.0227","0.0149","5"
"Kamrup","2023-05-25","Leptospirosis","6","8.53","28","10.35","0.107","0.264","0.174","14.5","0.0388","0.0255","0.0065","5"
"Kamrup","2023-05-26","Cholera","5","10.93","25.7","16.61","0.169","0.276","0.063","13.2","0.039","0.0149","0.0109","5"
"Kamrup","2023-05-27","Acute Gastroenteritis/Dysentery","19","7.02","31.4","13.98","0.073","0.341","0.335","19.1","0.0393","0.0232","0.0121","5"
"Kamrup","2023-05-28","Acute Gastroenteritis/Dysentery","12","8.14","32.2","9.99","0.031","0.326","0.225","17.5","0.032","0.0372","0.008","5"
"Kamrup","2023-05-29","Acute Gastroenteritis/Dysentery","9","5.61","33.3","17.12","-0.011","0.34","0.113","10.2","0.0644","0.0192","0.0056","5"
"Kamrup","2023-05-30","Acute Gastroenteritis/Dysentery","13","12.49","37.6","11.59","0.038","0.468","0.407","18.4","0.0278","0.0245","0.0137","5"
"Kamrup","2023-05-30","Typhoid","10","9.97","34.5","10.95","0.222","0.268","0.157","24","0.0179","0.0065","0.016","5"
"Kamrup","2023-05-31","Acute Gastroenteritis/Dysentery","9","5.96","31.1","12.82","0.048","0.229","0.229","13.2","0.0317","0.0116","0.0218","5"
"Kamrup","2023-06-01","Acute Gastroenteritis/Dysentery","22","22.62","30.6","8.96","0.419","0.373","0.275","32.5","0.0304","0.0168","0.0065","6"
"Kamrup","2023-06-02","Leptospirosis","12","13.09","28.2","5.84","0.244","0.634","0.503","43.4","0.055","0.044","0.021","6"
"Kamrup","2023-06-03","Leptospirosis","9","22.79","28.9","6.58","0.363","0.5","0.408","28","0.0514","0.0329","0.0213","6"
"Kamrup","2023-06-03","Typhoid","25","23.57","28.8","10.08","0.473","0.401","0.267","62.9","0.0534","0.0113","0.0178","6"
"Kamrup","2023-06-04","Typhoid","14","20.99","25.2","5.5","0.336","0.511","0.361","65.1","0.0296","0.0099","0.0057","6"
"Kamrup","2023-06-05","Acute Gastroenteritis/Dysentery","22","48.37","26.2","5.9","0.488","0.457","0.364","47.3","0.034","0.0175","0.0087","6"
"Kamrup","2023-06-06","Acute Gastroenteritis/Dysentery","37","27","26.9","6.82","0.469","0.563","0.424","45.5","0.0425","0.0273","0.0098","6"
"Kamrup","2023-06-07","Leptospirosis","14","23.23","26.1","8.22","0.419","0.361","0.293","59.9","0.0291","0.0148","0.0126","6"
"Kamrup","2023-06-07","Leptospirosis","22","29.04","27","11.29","0.542","0.646","0.36","41.6","0.011","0.0173","0.001","6"
"Kamrup","2023-06-08","Cholera","15","27.25","23.7","11.04","0.384","0.824","0.692","42.3","0.0384","0.035","0.0286","6"
"Kamrup","2023-06-09","Leptospirosis","14","25.67","31.3","10.69","0.233","0.5","0.351","41.6","0.0493","0.0109","0.0117","6"
"Kamrup","2023-06-10","Typhoid","21","27.99","29.3","10.29","0.301","0.394","0.236","46.9","0.0367","0.0152","0.0212","6"
"Kamrup","2023-06-10","Hepatitis A/E","6","35.02","27.1","5.92","0.203","0.51","0.459","49.2","0.0397","0.0282","0.0149","6"
"Kamrup","2023-06-10","Typhoid","37","34.11","28.2","8.93","0.388","0.512","0.302","40.6","0.0207","0.016","0.001","6"
"Kamrup","2023-06-11","Acute Gastroenteritis/Dysentery","26","35.15","26","10.73","0.446","0.523","0.389","30.6","0.022","0.0421","0.0137","6"
"Kamrup","2023-06-11","Acute Gastroenteritis/Dysentery","25","23.69","28.4","5.02","0.298","0.361","0.173","26.7","0.0424","0.0161","0.0191","6"
"Kamrup","2023-06-12","Leptospirosis","15","17.05","28.8","5.43","0.41","0.374","0.172","39.3","0.0381","0.021","0.0055","6"
"Kamrup","2023-06-13","Leptospirosis","27","21.54","32.7","12.71","0.387","0.643","0.52","68.3","0.005","0.0322","0.0193","6"
"Kamrup","2023-06-13","Acute Gastroenteritis/Dysentery","21","29.32","28.4","11.42","0.442","0.551","0.479","38.5","0.0173","0.0257","0.0167","6"
"Kamrup","2023-06-13","Hepatitis A/E","20","31.41","30","7.61","0.261","0.27","0.163","6.3","0.0477","0.0212","0.0045","6"
"Kamrup","2023-06-14","Typhoid","23","19.39","27.5","8.64","0.259","0.521","0.293","53.5","0.0335","0.0106","0.0104","6"
"Kamrup","2023-06-15","Cholera","15","11.15","27.1","5.22","0.507","0.371","0.281","45","0.0374","0.0417","0.0291","6"
"Kamrup","2023-06-16","Leptospirosis","16","40.63","27.7","10.19","0.26","0.457","0.343","46.6","0.0524","0.019","0.001","6"
"Kamrup","2023-06-17","Hepatitis A/E","11","26.84","26.2","6.6","0.398","0.416","0.278","9.5","0.0507","0.0373","0.0186","6"
"Kamrup","2023-06-17","Cholera","36","28.66","30.6","9.68","0.198","0.463","0.322","42.6","0.0307","0.0147","0.0342","6"
"Kamrup","2023-06-18","Typhoid","28","16.71","27.7","10.26","0.281","0.518","0.423","52.1","0.0292","0.0402","0.0203","6"
"Kamrup","2023-06-19","Acute Gastroenteritis/Dysentery","20","14.37","28","3.3","0.503","0.524","0.3","24.7","0.0458","0.0387","0.0062","6"
"Kamrup","2023-06-19","Acute Gastroenteritis/Dysentery","21","26.24","24.3","10.04","0.45","0.541","0.389","31.8","0.0562","0.034","0.0064","6"
"Kamrup","2023-06-19","Typhoid","9","19.44","27.9","9.64","0.314","0.557","0.405","30","0.0433","0.0287","0.01","6"
"Kamrup","2023-06-20","Leptospirosis","32","20.64","25","5.93","0.358","0.582","0.437","57.5","0.0289","0.0264","0.001","6"
"Kamrup","2023-06-21","Leptospirosis","14","25.04","29.6","11.55","0.314","0.497","0.321","54","0.0365","0.0253","0.0128","6"
"Kamrup","2023-06-21","Acute Gastroenteritis/Dysentery","22","12.77","22.7","10.1","0.479","0.619","0.426","40.2","0.0324","0.0208","0.024","6"
"Kamrup","2023-06-22","Cholera","16","9.76","25.6","9.14","0.575","0.477","0.292","60","0.0449","0.0379","0.0047","6"
"Kamrup","2023-06-22","Leptospirosis","27","37.79","29.6","10.59","0.258","0.385","0.127","32.9","0.0544","0.0302","0.0132","6"
"Kamrup","2023-06-22","Typhoid","37","23.54","27.1","8.25","0.248","0.526","0.348","48.6","0.046","0.0363","0.0158","6"
"Kamrup","2023-06-23","Typhoid","40","36.7","28.9","10.89","0.376","0.575","0.416","30.7","0.0448","0.0151","0.0099","6"
"Kamrup","2023-06-24","Acute Gastroenteritis/Dysentery","18","15.12","26.9","8.94","0.414","0.499","0.355","39.4","0.0159","0.021","0.0187","6"
"Kamrup","2023-06-24","Acute Gastroenteritis/Dysentery","28","28.19","28.9","3.46","0.31","0.501","0.323","70.6","0.0216","0.0159","0.0173","6"
"Kamrup","2023-06-25","Typhoid","19","24.09","28.4","11.7","0.297","0.56","0.362","43","0.0411","0.01","0.0088","6"
"Kamrup","2023-06-26","Typhoid","28","14.83","27.8","4.53","0.232","0.512","0.327","70.3","0.055","0.042","0.0096","6"
"Kamrup","2023-06-26","Typhoid","14","34.7","27","11.16","0.381","0.432","0.248","36.2","0.0613","0.0142","0.0319","6"
"Kamrup","2023-06-26","Typhoid","35","24.11","27.2","7.83","0.434","0.589","0.413","54.3","0.0646","0.0288","0.0175","6"
"Kamrup","2023-06-27","Hepatitis A/E","13","18.87","27.9","1.4","0.532","0.475","0.348","48.3","0.0589","0.0064","0.0159","6"
"Kamrup","2023-06-28","Leptospirosis","31","21.86","26.6","7.54","0.551","0.44","0.284","51.9","0.0374","0.0117","0.0145","6"
"Kamrup","2023-06-29","Acute Gastroenteritis/Dysentery","26","35.23","29.3","10.03","0.387","0.32","0.205","30.5","0.0423","0.0373","0.0308","6"
"Kamrup","2023-06-30","Hepatitis A/E","18","24.47","31","10.92","0.412","0.48","0.251","49.9","0.0381","0.0305","0.0219","6"
"Kamrup","2023-06-30","Typhoid","24","18.4","30.7","13.47","0.376","0.354","0.215","62.1","0.0311","0.0309","0.0163","6"
"Kamrup","2023-06-30","Typhoid","27","25.25","27.1","11.29","0.483","0.542","0.363","43.9","0.0378","0.0219","0.0102","6"
"Kamrup","2023-07-01","Typhoid","15","24.5","27.6","12.33","0.407","0.626","0.389","53.8","0.029","0.0194","0.0117","7"
"Kamrup","2023-07-01","Hepatitis A/E","23","32.78","30.6","6.92","0.452","0.578","0.4","28.4","0.0639","0.0211","0.0101","7"
"Kamrup","2023-07-02","Cholera","19","25.63","28.3","12.57","0.408","0.721","0.522","38.3","0.0602","0.0242","0.001","7"
"Kamrup","2023-07-02","Acute Gastroenteritis/Dysentery","52","32.04","29","10.16","0.367","0.466","0.309","36.4","0.0347","0.0214","0.013","7"
"Kamrup","2023-07-03","Leptospirosis","17","32.67","29.1","2.84","0.325","0.518","0.385","22.2","0.0387","0.0304","0.0122","7"
"Kamrup","2023-07-04","Cholera","13","25.04","27.5","7.33","0.502","0.318","0.197","31.7","0.0604","0.0202","0.0019","7"
"Kamrup","2023-07-05","Leptospirosis","9","26.24","27.3","7.94","0.389","0.622","0.382","33.6","0.0555","0.019","0.0222","7"
"Kamrup","2023-07-06","Leptospirosis","11","5.77","31.6","4.07","0.204","0.513","0.274","32.9","0.0482","0.0427","0.0181","7"
"Kamrup","2023-07-07","Acute Gastroenteritis/Dysentery","21","25.14","25.3","4.54","0.315","0.39","0.268","36","0.0448","0.0315","0.0197","7"
"Kamrup","2023-07-08","Acute Gastroenteritis/Dysentery","21","17.24","27.8","10.67","0.436","0.543","0.435","38.9","0.0307","0.0308","0.0138","7"
"Kamrup","2023-07-08","Cholera","18","18.76","29.8","6.16","0.476","0.5","0.406","29.4","0.0265","0.0222","0.0134","7"
"Kamrup","2023-07-09","Acute Gastroenteritis/Dysentery","17","24","29.7","7.65","0.362","0.554","0.432","35","0.0391","0.0144","0.001","7"
"Kamrup","2023-07-09","Typhoid","16","23.22","28.5","3.88","0.159","0.547","0.449","18.9","0.0242","0.0325","0.0179","7"
"Kamrup","2023-07-10","Typhoid","15","22.19","23.6","12.11","0.291","0.626","0.485","31.5","0.023","0.0285","0.0082","7"
"Kamrup","2023-07-10","Leptospirosis","15","10.75","23.5","8.68","0.344","0.445","0.346","62.6","0.0359","0.0216","0.019","7"
"Kamrup","2023-07-10","Leptospirosis","12","23.3","30.4","9.79","0.198","0.52","0.348","25.9","0.045","0.0201","0.0111","7"
"Kamrup","2023-07-11","Cholera","31","23.67","27.6","7.81","0.449","0.571","0.374","59.7","0.057","0.0282","0.0203","7"
"Kamrup","2023-07-12","Typhoid","10","11.91","29.9","11.2","0.455","0.497","0.451","43.5","0.0433","0.0245","0.0123","7"
"Kamrup","2023-07-12","Leptospirosis","15","29.41","25.4","7.93","0.337","0.566","0.358","51.8","0.0358","0.0062","0.0224","7"
"Kamrup","2023-07-13","Hepatitis A/E","19","23.73","30.5","9.66","0.365","0.549","0.321","48.7","0.0175","0.0152","0.0197","7"
"Kamrup","2023-07-14","Acute Gastroenteritis/Dysentery","18","29.27","33.4","5.06","0.403","0.362","0.142","55.8","0.0474","0.0165","0.0157","7"
"Kamrup","2023-07-15","Cholera","26","33.27","30.9","10.92","0.389","0.622","0.448","61.4","0.058","0.0141","0.0214","7"
"Kamrup","2023-07-16","Acute Gastroenteritis/Dysentery","21","10.43","26.8","9.11","0.458","0.49","0.34","51.2","0.0365","0.0389","0.0217","7"
"Kamrup","2023-07-17","Typhoid","24","31.55","28.3","13.19","0.317","0.479","0.329","54.3","0.0593","0.0257","0.0139","7"
"Kamrup","2023-07-18","Leptospirosis","27","23.4","26.4","9.42","0.136","0.554","0.401","63.9","0.0532","0.0182","0.0211","7"
"Kamrup","2023-07-19","Typhoid","22","35.39","26.6","4.74","0.4","0.331","0.266","46.5","0.0349","0.0211","0.0223","7"
"Kamrup","2023-07-20","Hepatitis A/E","18","22.59","28.2","3.98","0.486","0.298","0.176","51.3","0.0232","0.0311","0.008","7"
"Kamrup","2023-07-20","Acute Gastroenteritis/Dysentery","27","15.63","32.5","7.28","0.401","0.665","0.436","70","0.0338","0.0317","0.0104","7"
"Kamrup","2023-07-21","Leptospirosis","10","12.64","26.9","9.16","0.484","0.432","0.157","52.8","0.0217","0.0048","0.001","7"
"Kamrup","2023-07-22","Cholera","18","12.07","27.5","7.25","0.463","0.505","0.384","55.6","0.0723","0.0218","0.0075","7"
"Kamrup","2023-07-23","Leptospirosis","16","20.48","27.1","10.16","0.384","0.436","0.388","32.2","0.0405","0.0315","0.0019","7"
"Kamrup","2023-07-24","Cholera","12","23.57","24.3","5.37","0.381","0.455","0.319","24.3","0.0331","0.0265","0.0151","7"
"Kamrup","2023-07-25","Leptospirosis","11","18.6","27.5","4.83","0.507","0.473","0.384","49.7","0.0267","0.0275","0.0215","7"
"Kamrup","2023-07-25","Leptospirosis","20","25.51","25.7","11.63","0.51","0.386","0.238","36.8","0.0491","0.0299","0.0154","7"
"Kamrup","2023-07-26","Leptospirosis","14","39.98","30","8.11","0.373","0.52","0.39","14.5","0.0717","0.0171","0.015","7"
"Kamrup","2023-07-26","Typhoid","20","28.25","26.1","8.4","0.388","0.392","0.292","45.3","0.0483","0.0269","0.0098","7"
"Kamrup","2023-07-26","Acute Gastroenteritis/Dysentery","13","26.11","25.8","5.4","0.41","0.61","0.414","41.5","0.0339","0.0197","0.0174","7"
"Kamrup","2023-07-27","Acute Gastroenteritis/Dysentery","24","14.84","29.3","10.02","0.438","0.401","0.293","27.3","0.0362","0.0353","0.0214","7"
"Kamrup","2023-07-27","Cholera","14","30.16","28","1.04","0.478","0.498","0.408","28.6","0.005","0.0278","0.0173","7"
"Kamrup","2023-07-28","Cholera","25","30.85","26.7","1.73","0.383","0.473","0.311","43.3","0.044","0.0235","0.0049","7"
"Kamrup","2023-07-29","Acute Gastroenteritis/Dysentery","28","33.28","25.6","4.39","0.307","0.499","0.281","59.3","0.0261","0.0272","0.0104","7"
"Kamrup","2023-07-30","Cholera","26","22.16","28.8","6.98","0.487","0.406","0.342","44.6","0.0201","0.0318","0.0134","7"
"Kamrup","2023-07-31","Typhoid","20","21.97","28.3","8.15","0.549","0.419","0.27","32.5","0.0183","0.0275","0.0278","7"
"Kamrup","2023-08-01","Typhoid","26","26.49","29.2","7.53","0.54","0.419","0.279","49.4","0.0459","0.0255","0.0048","8"
"Kamrup","2023-08-02","Acute Gastroenteritis/Dysentery","24","26.18","27","17.23","0.536","0.376","0.275","35.9","0.0248","0.0116","0.0185","8"
"Kamrup","2023-08-02","Acute Gastroenteritis/Dysentery","20","31.97","29.9","8.39","0.386","0.452","0.275","34.7","0.0197","0.0242","0.0015","8"
"Kamrup","2023-08-03","Hepatitis A/E","25","19.04","27.2","9.34","0.32","0.621","0.465","47.6","0.0459","0.0203","0.01","8"
"Kamrup","2023-08-03","Cholera","43","31","27.7","5.92","0.425","0.399","0.195","44.9","0.0301","0.0225","0.0073","8"
"Kamrup","2023-08-03","Leptospirosis","11","22.65","28.1","6.18","0.523","0.626","0.419","37.6","0.038","0.023","0.0103","8"
"Kamrup","2023-08-04","Hepatitis A/E","20","35.81","30.6","12.99","0.431","0.559","0.462","51.7","0.0325","0.0205","0.0169","8"
"Kamrup","2023-08-05","Acute Gastroenteritis/Dysentery","35","24.42","30.1","3.86","0.409","0.592","0.41","55.8","0.0357","0.0267","0.0185","8"
"Kamrup","2023-08-06","Typhoid","21","36.19","31.2","8.42","0.518","0.504","0.423","42.6","0.0309","0.0138","0.0136","8"
"Kamrup","2023-08-07","Typhoid","18","33.08","25.6","5.24","0.545","0.505","0.345","48.5","0.0219","0.0217","0.015","8"
"Kamrup","2023-08-08","Cholera","26","17.59","26.1","8.43","0.428","0.686","0.529","46.3","0.035","0.0551","0.02","8"
"Kamrup","2023-08-08","Cholera","20","24.08","29.1","6.03","0.395","0.571","0.555","57.1","0.0273","0.0208","0.0114","8"
"Kamrup","2023-08-09","Acute Gastroenteritis/Dysentery","36","28.93","28.9","7.28","0.503","0.393","0.321","40.7","0.0624","0.0309","0.0145","8"
"Kamrup","2023-08-10","Hepatitis A/E","14","10.39","30.1","8.04","0.274","0.549","0.434","52.6","0.0372","0.0273","0.0222","8"
"Kamrup","2023-08-11","Cholera","23","18.01","29.9","5.47","0.413","0.651","0.43","44.8","0.013","0.0184","0.001","8"
"Kamrup","2023-08-12","Cholera","17","22.39","29.5","8.39","0.201","0.594","0.396","25.9","0.0334","0.006","0.005","8"
"Kamrup","2023-08-12","Cholera","23","24.84","28.6","4.46","0.378","0.561","0.315","48","0.0415","0.0254","0.0233","8"
"Kamrup","2023-08-13","Cholera","21","14.79","26.3","8.94","0.413","0.581","0.376","45.9","0.0299","0.0321","0.0245","8"
"Kamrup","2023-08-13","Acute Gastroenteritis/Dysentery","34","25.68","25.9","10.87","0.632","0.498","0.374","46.3","0.0293","0.0068","0.0094","8"
"Kamrup","2023-08-14","Cholera","18","13.96","27.1","7.23","0.393","0.569","0.364","40.9","0.0398","0.0265","0.0158","8"
"Kamrup","2023-08-14","Acute Gastroenteritis/Dysentery","21","16.76","28.1","4.78","0.408","0.452","0.443","44.4","0.0189","0.0237","0.0192","8"
"Kamrup","2023-08-15","Typhoid","19","28.14","28.9","3.25","0.405","0.548","0.42","34.6","0.0301","0.0193","0.0193","8"
"Kamrup","2023-08-15","Leptospirosis","33","21.6","30.1","8.57","0.52","0.58","0.347","43.5","0.0548","0.0128","0.0184","8"
"Kamrup","2023-08-16","Hepatitis A/E","33","23.53","25.7","8.82","0.193","0.491","0.344","56.9","0.0546","0.02","0.0138","8"
"Kamrup","2023-08-16","Leptospirosis","20","27.48","25.5","6.76","0.3","0.555","0.479","25.5","0.0122","0.0238","0.0151","8"
"Kamrup","2023-08-16","Hepatitis A/E","30","33.32","24.1","6.89","0.421","0.408","0.372","35.5","0.0394","0.0306","0.0103","8"
"Kamrup","2023-08-17","Acute Gastroenteritis/Dysentery","35","22.35","27","8.45","0.477","0.738","0.558","62.4","0.0324","0.0147","0.0155","8"
"Kamrup","2023-08-18","Hepatitis A/E","12","20.24","28.3","9.06","0.602","0.596","0.504","24.8","0.0348","0.0274","0.001","8"
"Kamrup","2023-08-19","Acute Gastroenteritis/Dysentery","27","22.06","27.6","11.76","0.32","0.629","0.428","56.3","0.0413","0.0473","0.0079","8"
"Kamrup","2023-08-19","Typhoid","18","37.8","29.7","7.98","0.311","0.59","0.365","24.8","0.0354","0.0047","0.0039","8"
"Kamrup","2023-08-20","Acute Gastroenteritis/Dysentery","23","28.48","31.3","11.4","0.348","0.627","0.415","38.1","0.0369","0.0234","0.0203","8"
"Kamrup","2023-08-21","Hepatitis A/E","22","40.52","30.6","11.21","0.407","0.535","0.401","45.2","0.0344","0.002","0.0207","8"
"Kamrup","2023-08-22","Acute Gastroenteritis/Dysentery","14","11.96","26.7","7.55","0.218","0.413","0.357","21.7","0.0618","0.0359","0.0127","8"
"Kamrup","2023-08-22","Cholera","26","19.51","25.7","0.1","0.391","0.457","0.303","29.8","0.0522","0.0493","0.0083","8"
"Kamrup","2023-08-23","Acute Gastroenteritis/Dysentery","36","34.04","28.3","7.5","0.399","0.497","0.339","51.7","0.026","0.0164","0.0195","8"
"Kamrup","2023-08-23","Typhoid","8","33.67","28.4","8.6","0.399","0.448","0.325","52.1","0.0138","0.0196","0.013","8"
"Kamrup","2023-08-24","Cholera","18","22.62","27.4","10.74","0.333","0.544","0.365","33.8","0.035","0.0284","0.0223","8"
"Kamrup","2023-08-25","Typhoid","18","29.96","20.8","11.41","0.309","0.541","0.396","64.1","0.043","0.0167","0.0022","8"
"Kamrup","2023-08-26","Cholera","16","23.48","25","12.09","0.37","0.451","0.395","26.4","0.0231","0.014","0.0145","8"
"Kamrup","2023-08-27","Cholera","33","28.57","28","6.43","0.454","0.566","0.343","55.3","0.0377","0.0252","0.0079","8"
"Kamrup","2023-08-27","Leptospirosis","8","15.27","30","13.15","0.561","0.596","0.461","13.9","0.0427","0.02","0.022","8"
"Kamrup","2023-08-27","Leptospirosis","13","9.18","25.6","10.61","0.561","0.502","0.302","23.7","0.0612","0.0295","0.0124","8"
"Kamrup","2023-08-28","Typhoid","16","15.86","25.8","6.6","0.331","0.662","0.438","26.3","0.0221","0.0232","0.001","8"
"Kamrup","2023-08-28","Typhoid","11","25.53","26.4","7.82","0.523","0.514","0.467","63.9","0.0387","0.0239","0.028","8"
"Kamrup","2023-08-29","Typhoid","19","31.69","28.8","11.94","0.464","0.432","0.365","57.8","0.0304","0.0329","0.0131","8"
"Kamrup","2023-08-30","Hepatitis A/E","17","31.24","30.3","5.21","0.407","0.53","0.384","49.4","0.0359","0.0264","0.0233","8"
"Kamrup","2023-08-31","Cholera","23","26.3","32.3","6.15","0.393","0.304","0.271","33","0.0559","0.0345","0.0338","8"
"Kamrup","2023-09-01","Cholera","23","19.66","29.5","11","0.392","0.39","0.363","31.8","0.0181","0.0049","0.0158","9"
"Kamrup","2023-09-02","Hepatitis A/E","28","29.89","28.6","7.19","0.511","0.687","0.531","38","0.0517","0.021","0.0062","9"
"Kamrup","2023-09-02","Cholera","17","21.13","29.7","4.85","0.147","0.477","0.327","47","0.0509","0.0314","0.0171","9"
"Kamrup","2023-09-02","Cholera","19","28.53","27.2","5.94","0.522","0.561","0.28","35","0.0283","0.0188","0.0219","9"
"Kamrup","2023-09-03","Acute Gastroenteritis/Dysentery","38","31","26.3","10.42","0.357","0.421","0.375","47.7","0.0352","0.0326","0.0043","9"
"Kamrup","2023-09-04","Typhoid","26","38.12","25.6","12.35","0.326","0.605","0.422","56.6","0.0407","0.0066","0.001","9"
"Kamrup","2023-09-04","Cholera","21","41.14","28.5","6.66","0.434","0.457","0.325","26.7","0.0399","0.0202","0.006","9"
"Kamrup","2023-09-05","Hepatitis A/E","22","22.28","26.2","11.48","0.432","0.356","0.283","52.3","0.0351","0.0412","0.0101","9"
"Kamrup","2023-09-05","Leptospirosis","21","31.72","32.1","5.48","0.522","0.462","0.399","77.8","0.0365","0.0098","0.0226","9"
"Kamrup","2023-09-06","Leptospirosis","18","19.74","28.7","7.86","0.556","0.541","0.448","46.6","0.0374","0.0246","0.0088","9"
"Kamrup","2023-09-07","Typhoid","23","30.37","30.4","15.63","0.299","0.513","0.335","57.6","0.0441","0.0168","0.0151","9"
"Kamrup","2023-09-07","Acute Gastroenteritis/Dysentery","28","8.92","28.2","5.23","0.501","0.476","0.34","45","0.0569","0.0455","0.0059","9"
"Kamrup","2023-09-08","Acute Gastroenteritis/Dysentery","33","33.08","27.9","12.14","0.333","0.495","0.3","45.1","0.0178","0.0201","0.0035","9"
"Kamrup","2023-09-08","Leptospirosis","13","11.16","30.7","15.49","0.405","0.436","0.446","25.2","0.0403","0.0268","0.0258","9"
"Kamrup","2023-09-09","Acute Gastroenteritis/Dysentery","24","17.39","27.3","4.98","0.405","0.444","0.236","63.8","0.0325","0.0123","0.0137","9"
"Kamrup","2023-09-10","Cholera","26","28.54","28.1","12.6","0.169","0.515","0.417","16.6","0.0526","0.0174","0.0159","9"
"Kamrup","2023-09-11","Acute Gastroenteritis/Dysentery","29","18.06","29","12.85","0.483","0.776","0.466","37.4","0.0259","0.0373","0.0132","9"
"Kamrup","2023-09-12","Acute Gastroenteritis/Dysentery","24","19.72","30.2","6.93","0.524","0.617","0.39","15.2","0.0115","0.0169","0.0301","9"
"Kamrup","2023-09-12","Leptospirosis","29","25.6","30.1","8.84","0.426","0.303","0.246","45.8","0.0481","0.0268","0.0105","9"
"Kamrup","2023-09-13","Acute Gastroenteritis/Dysentery","23","29.11","30.4","5.34","0.255","0.447","0.323","58","0.0252","0.002","0.0109","9"
"Kamrup","2023-09-13","Typhoid","18","25.62","28.7","6.93","0.325","0.464","0.35","22.6","0.0648","0.0307","0.0107","9"
